t,E_true,E_mod,mass
1.59,8.330334082,4.812359175,-0.008422930662
1.595,8.328911691,4.809581634,-0.008422930662
1.6,8.327493322,4.806812233,-0.008422930662
1.605,8.326078999,4.804050981,-0.008422930662
1.61,8.324668744,4.801297896,-0.008422930662
1.615,8.323262584,4.798553,-0.008422930662
1.62,8.321860547,4.795816319,-0.008422930662
1.625,8.320462663,4.793087886,-0.008422930662
1.63,8.319068964,4.790367738,-0.008422930662
1.635,8.317679486,4.787655917,-0.008422930662
1.64,8.316294264,4.784952468,-0.008422930662
1.645,8.314913337,4.782257444,-0.008422930662
1.65,8.313536742,4.779570897,-0.008422930662
1.655,8.312164522,4.776892887,-0.008422930662
1.66,8.310796718,4.774223476,-0.008422930662
1.665,8.309433373,4.77156273,-0.008422930662
1.67,8.308074532,4.768910717,-0.008422930662
1.675,8.306720239,4.76626751,-0.008422930662
1.68,8.305370541,4.763633182,-0.008422930662
1.685,8.304025483,4.761007812,-0.008422930662
1.69,8.302685114,4.758391479,-0.008422930662
1.695,8.301349479,4.755784263,-0.008422930662
1.7,8.300018627,4.753186248,-0.008422930662
1.705,8.298692605,4.750597519,-0.008422930662
1.71,8.297371461,4.748018161,-0.008422930662
1.715,8.296055242,4.745448261,-0.008422930662
1.72,8.294743996,4.742887907,-0.008422930662
1.725,8.293437768,4.740337188,-0.008422930662
1.73,8.292136606,4.73779619,-0.008422930662
1.735,8.290840554,4.735265003,-0.008422930662
1.74,8.289549658,4.732743715,-0.008422930662
1.745,8.288263962,4.730232414,-0.008422930662
1.75,8.286983509,4.727731186,-0.008422930662
1.755,8.28570834,4.725240118,-0.008422930662
1.76,8.284438496,4.722759295,-0.008422930662
1.765,8.283174018,4.720288801,-0.008422930662
1.77,8.281914943,4.717828717,-0.008422930662
1.775,8.280661308,4.715379125,-0.008422930662
1.78,8.279413149,4.712940102,-0.008422930662
1.785,8.2781705,4.710511726,-0.008422930662
1.79,8.276933392,4.708094071,-0.008422930662
1.795,8.275701856,4.705687207,-0.008422930662
1.8,8.274475922,4.703291206,-0.008422930662
1.805,8.273255616,4.700906132,-0.008422930662
1.81,8.272040963,4.69853205,-0.008422930662
1.815,8.270831987,4.696169021,-0.008422930662
1.82,8.269628709,4.693817102,-0.008422930662
1.825,8.268431148,4.691476347,-0.008422930662
1.83,8.267239323,4.689146808,-0.008422930662
1.835,8.266053249,4.686828532,-0.008422930662
1.84,8.264872939,4.684521563,-0.008422930662
1.845,8.263698404,4.682225942,-0.008422930662
1.85,8.262529654,4.679941705,-0.008422930662
1.855,8.261366697,4.677668886,-0.008422930662
1.86,8.260209538,4.675407515,-0.008422930662
1.865,8.25905818,4.673157617,-0.008422930662
1.87,8.257912625,4.670919215,-0.008422930662
1.875,8.256772871,4.668692325,-0.008422930662
1.88,8.255638916,4.666476962,-0.008422930662
1.885,8.254510756,4.664273138,-0.008422930662
1.89,8.253388383,4.662080857,-0.008422930662
1.895,8.252271788,4.659900123,-0.008422930662
1.9,8.251160961,4.657730935,-0.008422930662
1.905,8.25005589,4.655573287,-0.008422930662
1.91,8.248956559,4.65342717,-0.008422930662
1.915,8.247862953,4.651292573,-0.008422930662
1.92,8.246775053,4.649169477,-0.008422930662
1.925,8.24569284,4.647057863,-0.008422930662
1.93,8.244616291,4.644957708,-0.008422930662
1.935,8.243545383,4.642868983,-0.008422930662
1.94,8.242480091,4.640791657,-0.008422930662
1.945,8.241420389,4.638725697,-0.008422930662
1.95,8.240366247,4.636671063,-0.008422930662
1.955,8.239317636,4.634627714,-0.008422930662
1.96,8.238274525,4.632595606,-0.008422930662
1.965,8.23723688,4.63057469,-0.008422930662
1.97,8.236204668,4.628564915,-0.008422930662
1.975,8.235177851,4.626566227,-0.008422930662
1.98,8.234156395,4.624578568,-0.008422930662
1.985,8.233140259,4.622601878,-0.008422930662
1.99,8.232129404,4.620636093,-0.008422930662
1.995,8.231123791,4.618681147,-0.008422930662
2,8.230123375,4.616736971,-0.008422930662
